circ;ano;pop
1;2000;1516
4;2000;29229
5;2000;34985
6;2000;74835
7;2000;37931
9;2000;126504
10;2000;95681
12;2000;85012
13;2000;64383
14;2000;82289
15;2000;137487
16;2000;282123
17;2000;74427
18;2000;62763
19;2000;129150
20;2000;152048
21;2000;246763
22;2000;222220
23;2000;85492
24;2000;89906
25;2000;120434
26;2000;107909
27;2000;176069
28;2000;159619
29;2000;97106
30;2000;116601
31;2000;146732
32;2000;342036
33;2000;225222
34;2000;396711
35;2000;665637
36;2000;289129
37;2000;197017
38;2000;193498
39;2000;163481
40;2000;103415
41;2000;132605
44;2000;109935
48;2000;65260
50;2000;82003
51;2000;40475
52;2000;171607
53;2000;168041
54;2000;434474
55;2000;205271
56;2000;255359
57;2000;153712
58;2000;337912
59;2000;320250
60;2000;257279
61;2000;54865
62;2000;143063
64;2000;449476
65;2000;116685
66;2000;127097
71;2000;213536
72;2000;307600
73;2000;148838
74;2000;194613
75;2000;240068
76;2000;71993
77;2000;136515
78;2000;118670
79;2000;68641
81;2000;63631
82;2000;76737
88;2000;88503
89;2000;104549
90;2000;170753
91;2000;66308
92;2000;7625
93;2000;242063
94;2000;41599
95;2000;31451
96;2000;48833
97;2000;17289
98;2000;12164
99;2000;24739
100;2000;22825
104;2000;19278
105;2000;243780
106;2000;42757
107;2000;37410
108;2000;89799
109;2000;17157
110;2000;138081
111;2000;14176
112;2000;15289
118;2000;82803
119;2000;49691
120;2000;21265
121;2000;22152
122;2000;18782
123;2000;154801
124;2000;52461
125;2000;63227
126;2000;150705
127;2000;18204
128;2000;36419
129;2000;15089
134;2000;257892
135;2000;23003
136;2000;46710
137;2000;27064
138;2000;7909
139;2000;15952
140;2000;22979
141;2000;36789
142;2000;14670
143;2000;118349
144;2000;33655
145;2000;27682
146;2000;190242
151;2000;173418
152;2000;10334
153;2000;19835
154;2000;23487
155;2000;8402
156;2000;10476
157;2000;10038
158;2000;22651
159;2000;48543
165;2000;24901
166;2000;119247
167;2000;29544
168;2000;16228
1;2001;1528
4;2001;29452
5;2001;35252
6;2001;75406
7;2001;38220
9;2001;127469
10;2001;96411
12;2001;85661
13;2001;64874
14;2001;82917
15;2001;138536
16;2001;284276
17;2001;74995
18;2001;63242
19;2001;130135
20;2001;153208
21;2001;248646
22;2001;223916
23;2001;86145
24;2001;90592
25;2001;121353
26;2001;108732
27;2001;177412
28;2001;160837
29;2001;97846
30;2001;117491
31;2001;147851
32;2001;344645
33;2001;226941
34;2001;399737
35;2001;670715
36;2001;291335
37;2001;198520
38;2001;194974
39;2001;164729
40;2001;104204
41;2001;133617
44;2001;110773
48;2001;66450
50;2001;84377
51;2001;41095
52;2001;172299
53;2001;168074
54;2001;437840
55;2001;207929
56;2001;256388
57;2001;154079
58;2001;339273
59;2001;323394
60;2001;259805
61;2001;55403
62;2001;144468
64;2001;450387
65;2001;118646
66;2001;128365
71;2001;216819
72;2001;311158
73;2001;150560
74;2001;196864
75;2001;242845
76;2001;72422
77;2001;137328
78;2001;119377
79;2001;69050
81;2001;64010
82;2001;80731
88;2001;89111
89;2001;105980
90;2001;171446
91;2001;66842
92;2001;7714
93;2001;243593
94;2001;42288
95;2001;31735
96;2001;49045
97;2001;17353
98;2001;12267
99;2001;25116
100;2001;23404
104;2001;19373
105;2001;244567
106;2001;42895
107;2001;37762
108;2001;90495
109;2001;17193
